Frame Rate:,29.9700000915
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1568,00:00:52.319,6.875521039006625,7.943332894563643,3.736935632486508,8.946294589969725
1569,00:00:52.352,7.337523583870826,8.503224957219956,3.995590364617612,9.51375542977491
1570,00:00:52.386,6.3596156377517445,7.394596551270238,3.424838752139002,8.259411609845992
1571,00:00:52.419,6.256822868676232,6.874457022508885,3.539226010267211,8.3567855732526
1572,00:00:52.452,6.114475012066166,6.782940634460972,3.374193760695011,8.186290641042516
1573,00:00:52.486,7.589860032468958,9.114716335395551,3.8272015269185204,9.8276622350928
1574,00:00:52.519,11.976745206441139,15.9478083453995,5.941259707779387,14.04116756614453
1575,00:00:52.553,15.427251985432846,21.952678688956166,7.209358957483217,17.119718309859156
1576,00:00:52.586,8.013481198718793,10.350138212452284,4.290542319336581,9.399763064367514
1577,00:00:52.619,7.127023825194157,8.636237988679742,3.5687771488745557,9.17605633802817
1578,00:00:52.653,6.40121100434382,7.617941292615506,3.2123864683427668,8.373305252073187
1579,00:00:52.686,7.45275547365188,9.222258786363039,3.498453336843491,9.637554297749112
1580,00:00:52.719,13.071837567460841,18.52593128866658,6.1702974858496775,14.519283927866264
1581,00:00:52.753,12.563281558509937,18.466236672370673,5.668619191786231,13.55498881137291
1582,00:00:52.786,7.608398051862577,9.865868105831249,3.816835592997236,9.142490456759248
1583,00:00:52.819,7.423708920187793,8.662695800974069,3.7936027379228645,9.814828221666447
1584,00:00:52.853,6.103034092404896,6.925069106226142,3.1059299723575093,8.278103198631038
1585,00:00:52.886,6.3652209205388095,7.599085165196788,3.208240094774253,8.288337501645387
1586,00:00:52.920,5.795423632135492,6.979663024878241,2.879162827431881,7.527445044096353
1587,00:00:52.953,6.668388837699092,7.763393444780834,3.3953205212583915,8.84645254705805
1588,00:00:52.986,5.832543547891711,6.905653547452942,2.995689087797815,7.596288008424378
1589,00:00:53.020,6.406958887280067,7.464130577859682,3.2306831644070026,8.526062919573516
1590,00:00:53.053,5.407551226361282,6.227194945373173,2.7681321574305646,7.22732657628011
1591,00:00:53.086,6.336975121758588,7.5789127287087,3.0963209161511123,8.335691720415953
1592,00:00:53.120,5.67793207845202,6.856127418717915,2.6630577859681455,7.514611030670001
1593,00:00:53.153,6.403459699003992,7.4567263393444785,3.008556008950902,8.745096748716598
1594,00:00:53.187,5.516223509279979,6.546169540608135,2.7308147953139397,7.271686191917862
1595,00:00:53.220,6.225703128427888,7.715019086481506,3.0323812031064894,7.929709095695669
1596,00:00:53.253,5.804758457285771,7.1939910490983285,2.7418388837699093,7.478445438989074
1597,00:00:53.287,6.139079022421131,7.815716730288272,2.7899170725286297,7.811603264446492
1598,00:00:53.320,6.104997586766706,7.620837172568119,2.92536527576675,7.768790311965249
